Participant,Bild-c,FAZ-c,RTL-c,Sat1-c,Sz-c,ARD-c,Der Spiegel-c,Bild-d,FAZ-d,RTL-d,Sat1-d,Sz-d,ARD-d,Der Spiegel-d,Bild-g,FAZ-g,RTL-g,Sat1-g,Sz-g,ARD-g,Der Spiegel-g,Age,Gender,Nationality,Location
1,,,,,2,,1,,,,,,,2,,4,,,,,2,22,f,German,Regensburg
2,1,,,,,"3,5",,,4,,,5,,,,4,,,,,3,27,m,German,Freiburg
3,,,,,2,,1,,,,,,,"2,5",,"3,4",,,,,1,24,f,German,Dusseldorf
4,2,,,,,"3,5",1,,,,,,,,,,,,,,,25,m,German,Nijmegen
5,,,,,2,,1,,,,,,,2,,"3,4",,,,,1,20,f,German,Nuremberg
6,,,,,3,,"1,2",,,,,,,3,,4,,,,,1,22,f,German,Nuremberg
7,3,,,,,4,1,,,,,,,3,,3,,,,,1,24,f,German,Phuket
8,,,,,,,"4,5",,,,,,,5,,,,,,,5,22,f,German,Nuremberg
9,,,,,,4,,,,,,,,,,,,,,,,24,f,German,Wellington
10,,,,,,4,,,,,,,,,,,,,,,,25,m,German,Wellington
11,,4,,,,4,,2,4,,,,,,,,,,3,,2,16,m,German,Koln
